7,56,8,7,10,62,600.6
4,69,5,3,8,56,575.8
11,60,7,6,10,45,521.5
8,99,9,8,4,55,678.3
5,52,8,6,8,40,455.6
7,40,9,10,0,60,515.6
10,40,4,11,9,50,476.4
3,86,7,3,7,85,789.7
7,72,8,5,18,48,596.4
11,77,4,9,15,69,711.9
11,64,8,8,12,76,717.6
8,65,5,6,4,87,732.3
5,52,6,9,17,89,750.5
4,98,9,2,8,70,756.2
8,67,8,11,3,56,583.6
8,72,7,9,13,87,796.3
3,76,8,10,6,36,499.6
6,80,8,10,11,47,595.1
5,69,8,6,6,45,527.3
2,96,8,9,10,46,625
8,88,7,4,14,67,731.7
6,87,7,5,6,56,638.2
2,47,8,2,19,87,725.7
5,88,6,3,16,43,594.9
1,86,8,1,4,78,739
10,95,9,4,7,41,598.7
6,40,9,2,9,51,485.1
9,51,7,2,5,95,743.7
1,44,9,1,20,44,484.8
11,63,9,10,1,72,662
11,45,5,2,4,93,706.5
10,64,8,4,9,73,684.1
3,40,8,6,2,85,642.7
7,64,8,7,12,80,730.4
4,40,8,7,15,59,547.1
9,71,4,7,14,61,640.1
3,81,8,4,1,64,644.4
5,81,7,5,2,64,648.6
3,42,7,11,19,77,664.1
7,88,4,3,17,68,731
5,58,8,1,19,67,653.5
9,99,6,8,19,66,778.6
7,82,8,10,14,92,860.8
2,68,7,11,4,76,683.6
4,89,5,7,10,46,592.4
9,41,9,9,2,75,610.7
2,48,5,10,8,57,522.7
10,95,6,4,6,92,862.6
9,56,8,5,1,63,577.1
10,99,4,5,14,77,811.7
5,85,8,7,11,35,538.5
2,75,6,9,15,54,614.2
4,100,6,8,15,44,637
7,56,9,7,15,95,803.5
8,88,6,1,18,53,660.3
3,51,5,10,2,93,711.3
1,99,9,6,19,57,723.9
4,59,8,10,3,55,544.9
2,89,8,9,0,91,817.5
8,42,4,7,7,77,615.3
4,82,6,1,14,69,708.7
2,96,6,9,20,93,908.7
6,89,7,3,4,82,778
6,43,9,9,19,66,619
10,56,7,4,11,88,745
4,89,9,9,19,44,632
6,76,5,8,19,36,534.2
2,85,9,7,3,85,784.7
10,81,8,4,14,70,735.6
2,54,4,9,5,82,662.4
10,72,9,4,4,40,514
4,55,9,1,10,77,671.3
8,50,9,6,13,51,537.5
7,94,4,4,10,49,621.9
9,59,6,10,8,88,744.6
8,77,4,3,9,70,683.8
5,63,6,5,5,58,567.4
2,100,8,3,10,91,877.3
5,93,4,11,8,74,754
8,55,6,9,4,90,726.8
10,69,8,6,9,95,822.5
9,73,8,3,19,63,686.9
9,40,6,5,13,84,676.6
1,63,6,8,5,48,508
9,63,5,8,3,92,754.8
7,48,8,6,20,36,466.4
9,61,6,5,9,82,715
8,51,8,5,10,56,552.2
1,56,4,1,15,81,685.3
8,64,7,2,6,87,740.1
8,67,7,11,17,40,538.8
11,100,9,4,6,43,623.3
3,54,6,6,20,46,522.6
1,69,6,11,14,76,714.2
8,90,8,7,18,73,792.3
3,66,9,1,17,39,517.1
3,61,6,8,14,92,778.6
1,49,8,1,17,89,732.7
11,100,6,9,2,74,773
5,97,8,4,0,93,852.5
10,70,6,7,0,78,693.8
7,66,5,11,6,35,460.1
10,51,8,6,9,44,488
9,85,5,9,11,45,590.7
7,70,5,2,7,61,607.7
9,71,5,11,16,57,634.1
8,71,5,7,13,54,600.6
2,80,4,11,16,39,543.7
1,98,9,5,20,47,668.1
7,84,7,7,5,84,784.2
7,74,4,1,19,44,561.4
8,92,6,11,16,87,864.5
5,100,6,11,19,91,914.7
3,85,9,10,7,83,792.9
8,60,7,9,12,85,745.9
6,49,7,1,15,70,627
11,55,7,5,11,75,673.7
3,46,5,8,16,84,692
1,43,4,1,17,50,482.6
3,66,6,7,7,41,488.1
5,91,4,2,17,66,723.8
3,94,4,7,10,59,672.5
1,64,4,7,12,78,689.8
5,70,7,9,11,60,629
10,50,9,6,14,70,649.4
7,87,9,4,2,87,804.7
7,59,7,7,2,62,578
11,75,6,7,5,78,727.8
9,93,6,4,2,46,588
10,93,6,2,8,60,685
10,94,9,11,10,38,597.8
3,56,9,9,7,78,677.2
7,84,4,8,3,57,616.9
1,50,7,5,19,74,660.4
4,69,5,5,14,58,609.6
4,74,4,1,4,65,619.9
5,80,8,11,6,64,670.8
7,77,9,9,7,37,522.7
7,61,4,11,6,50,523.2
11,92,7,10,7,68,738.6
4,82,8,11,3,72,708.6
7,87,4,8,0,62,643.2
11,90,7,5,4,83,798.9
3,66,7,10,10,78,709.8
6,76,9,6,3,75,709.5
2,85,5,10,1,82,747.4
10,88,4,11,16,41,594.7
9,74,7,10,11,42,551.2
5,43,6,8,1,41,403.9
6,55,7,6,8,87,720.7
4,55,5,10,5,71,614.5
11,60,7,4,5,89,744.1
10,65,9,3,17,41,541.5
7,96,4,7,2,84,796.8
9,75,9,2,14,52,618.6
7,58,4,7,6,82,685.4
1,97,8,1,12,73,771.7
1,56,4,10,9,55,532.7
9,84,8,5,3,68,695.4
11,65,9,9,15,83,774.9
9,61,6,1,8,91,756.3
4,94,5,8,20,61,725.1
9,97,6,9,9,42,607.8
3,95,8,9,18,68,772.2
7,67,7,8,16,52,595.8
6,40,7,4,0,85,635.1
8,83,6,7,12,86,813.6
11,75,7,1,3,75,701.7
9,82,8,7,14,46,608.2
5,76,9,6,9,56,623.4
1,41,5,5,19,85,685.1
3,56,4,1,8,74,627
10,79,8,8,7,56,633.6
8,77,8,10,19,42,589.8
11,60,4,1,5,76,655.8
6,100,4,1,9,62,702.4
8,48,5,3,19,84,712.2
9,52,5,8,16,81,705.5
4,50,5,8,4,90,698.2
1,100,7,7,13,66,748.4
1,55,8,5,16,45,510.1
10,55,9,8,10,55,570.7
4,98,4,2,3,60,662.2
7,41,8,8,16,48,500.2
2,81,8,11,1,49,568.3
3,83,5,2,20,48,611.4
1,47,5,10,0,46,430
5,82,8,5,17,70,740
1,81,5,11,6,37,504.1
8,52,7,4,5,78,653.6
1,96,4,1,5,91,826.3
11,56,8,5,13,92,781.4
1,78,4,7,11,41,524.9
2,63,7,1,13,73,670.7
2,42,5,2,13,88,682.6
6,69,6,9,11,91,794.1
7,91,7,5,8,85,818.5
5,52,6,7,8,80,668
1,58,4,2,1,35,391.9
1,46,8,7,17,73,642.9
3,48,5,7,4,59,518.5
2,58,7,7,11,65,612.1
5,84,5,5,13,56,642.2
10,93,6,9,12,44,619
6,79,6,2,2,52,570.6
7,61,9,4,14,47,547.5
4,57,8,2,14,42,495.2
7,100,6,8,2,43,593.3
11,62,8,11,19,92,827
8,41,9,1,18,49,510.5
11,89,7,9,14,42,609.2
1,89,9,5,18,91,876.3
6,50,8,11,7,67,602.7
8,70,6,3,12,69,676.3
5,72,4,11,9,53,578.9
4,53,8,4,1,64,562.4
2,55,5,1,10,43,462.7
6,50,4,3,18,53,535.9
6,72,8,11,8,81,749.1
11,46,5,8,8,80,658.8
1,70,9,2,5,60,601
9,100,4,2,9,35,561.1
11,87,8,9,7,37,556.3
6,85,7,5,14,68,725.4
3,86,9,5,5,59,651.1
4,53,5,1,6,64,562.6
11,67,7,6,19,35,518.1
4,92,6,8,16,93,885.9
3,82,9,6,3,52,595
10,55,9,7,7,67,625.3
3,58,8,4,12,43,497.3
3,56,8,2,13,41,481.3
4,98,5,1,17,64,735
7,65,9,6,16,47,568.7
4,45,8,9,17,51,527.3
9,82,6,10,13,47,605.1
1,88,8,5,10,47,599.7
8,48,9,2,9,76,650.6
7,89,4,1,12,94,857.6
2,56,7,3,19,72,667
8,70,9,4,15,71,711.9
1,51,6,7,13,44,476
11,62,9,9,2,48,529.2
9,93,6,8,17,77,814.3
9,93,9,9,5,39,578.9
2,44,7,7,19,70,624.8
7,82,7,10,2,69,689.1
10,75,6,8,18,80,782.2
3,98,9,8,2,79,790.5
7,75,7,1,11,90,803.4
10,42,5,9,7,57,516.1
9,97,9,2,4,39,579.1
4,63,7,11,16,78,724.4
1,94,4,7,9,91,841.1
2,96,4,10,20,62,730.6
1,56,5,10,16,57,571.9
5,78,7,5,8,76,726
5,65,4,4,12,68,642.2
11,43,9,1,9,65,579.9
7,94,8,1,7,41,581.7
9,84,7,3,6,41,550.3
9,51,5,1,1,38,406.6
3,40,7,8,1,78,598.8
3,60,6,3,3,66,589.2
3,58,6,11,8,62,587.8
4,60,4,10,13,90,756.8
8,91,6,2,10,38,560.8
6,57,5,6,20,73,681.7
8,82,4,4,6,86,777.8
1,91,5,11,18,79,805.9
8,42,9,11,3,42,436
4,100,5,4,1,48,602.2
11,88,6,2,20,64,734.8
1,83,9,2,18,37,557.7
8,71,6,11,20,36,534.6
4,49,5,6,17,44,484
6,79,6,5,20,40,569.4
8,54,6,9,6,89,725.1
4,44,6,4,10,41,430.7
3,43,7,5,9,50,477.4
9,97,9,1,10,40,603.8
3,67,9,2,8,50,551.2
9,92,9,3,2,61,679.5
2,91,5,5,4,90,813.6
2,90,8,5,0,46,568.2
2,92,5,4,0,56,614.8
6,43,9,10,19,49,526.7
3,54,4,3,4,56,510.8
9,56,6,9,18,69,663.9
4,83,6,1,5,94,818.6
1,42,8,6,2,82,628.2
4,49,4,7,20,84,711
1,86,7,10,12,49,613.1
5,81,5,4,16,57,647.7
4,95,7,10,2,72,738.6
8,62,4,3,2,83,686.5
8,57,8,8,20,36,497.8
7,40,4,9,12,36,401.2
3,74,8,1,1,83,724.3
1,92,7,11,2,53,620.3
1,97,7,10,19,39,614.9
11,70,4,9,15,38,520.4
3,98,4,7,20,62,735
6,83,6,1,11,52,612
7,40,8,7,8,74,611.8
6,42,6,5,15,75,633.9
6,42,5,10,3,90,677.2
6,76,5,7,19,89,824.5
3,58,4,9,17,92,772.2
6,68,7,8,0,84,718.4
8,64,5,6,6,65,615.1
11,72,5,2,19,56,635
11,75,6,8,11,45,567.9
2,100,6,4,7,82,810
5,68,5,8,7,50,544.4
1,97,4,7,8,38,555.2
1,65,6,4,13,55,574.9
5,43,5,8,19,75,647.7
3,88,7,11,4,79,762.1
4,53,6,11,19,59,595.7
3,89,5,11,20,54,673.2
1,66,8,2,1,42,472
1,72,6,9,20,77,746.7
5,61,8,6,9,87,744.5
6,87,6,7,8,43,571.5
3,42,6,10,6,52,476.8
9,62,9,1,17,65,660.1
5,60,9,3,11,86,743.6
8,80,8,10,10,69,716.7
1,62,4,5,9,89,731.7
5,43,5,7,12,64,562.2
3,60,4,1,8,52,518
1,76,4,9,15,53,600.9
4,82,9,5,20,75,780.1
5,70,5,3,16,58,619
7,60,9,7,4,84,717.6
1,65,9,10,5,56,573.6
3,80,9,8,9,82,776.8
2,97,7,10,10,48,635.8
9,74,4,10,1,53,564.5
10,77,4,3,6,94,809.6
6,63,4,7,13,63,617.7
10,50,7,7,3,56,527.4
3,80,6,4,4,64,642.8
8,68,8,10,18,49,597.9
8,86,8,9,20,55,690.5
2,94,7,1,19,60,712.6
6,99,4,1,9,70,743.4
7,42,8,5,5,46,451.2
2,40,7,3,1,41,387.3
11,91,9,10,2,45,600.9
10,100,5,9,14,92,906.4
2,93,8,5,9,73,756.3
10,58,5,7,16,54,575.8
1,85,4,1,6,69,675.7
8,88,8,2,1,38,530
1,61,7,11,6,36,447.4
9,53,6,4,14,54,552.8
11,88,8,9,2,81,784.3
6,96,8,5,4,54,651.8
7,98,8,5,7,46,626
10,53,8,9,3,87,713.7
7,83,7,8,17,51,641.7
10,55,7,2,18,52,565.4
3,72,6,7,7,74,687.6
2,52,7,1,5,58,528
9,77,7,10,4,42,536.4
8,88,4,11,4,71,714.9
10,51,4,11,16,90,753.2
7,94,5,9,5,75,758.3
9,90,6,3,12,64,710.8
4,77,4,2,8,54,583.2
4,78,6,4,11,86,783.6
1,72,6,4,9,57,593.3
8,72,8,3,0,71,661.3
